Frequency (MHz),Amplitude
3.299999999999999822e+00,7.530845412492279678e-01
3.310000000000000053e+00,-1.977047938098043800e-01
3.319999999999999840e+00,-9.492219347031632948e-01
3.330000000000000071e+00,-7.440542242394726502e-01
3.339999999999999858e+00,2.109886246551254396e-01
3.350000000000000089e+00,9.533886405040691292e-01
3.359999999999999876e+00,7.349875524664223336e-01
3.370000000000000107e+00,-2.240859408526220953e-01
3.379999999999999893e+00,-9.573368360185465775e-01
3.390000000000000124e+00,-7.258939427382782306e-01
3.399999999999999911e+00,2.369910786414001214e-01
3.410000000000000142e+00,9.610703691131339266e-01
3.419999999999999929e+00,7.167828199928260036e-01
3.430000000000000160e+00,-2.496986382741498145e-01
3.439999999999999947e+00,-9.645933506840934646e-01
3.450000000000000178e+00,-7.076636026566136550e-01
3.459999999999999964e+00,2.622034858018430503e-01
3.470000000000000195e+00,9.679101417658134698e-01
3.479999999999999982e+00,6.985456883627062519e-01
3.490000000000000213e+00,-2.745007540499896925e-01
3.500000000000000000e+00,-9.710253402153958824e-01
3.509999999999999787e+00,-6.894384400587731943e-01
3.520000000000000018e+00,2.865858427990048973e-01
3.529999999999999805e+00,9.739437670160159266e-01
3.540000000000000036e+00,6.803511725355763096e-01
3.549999999999999822e+00,-2.984544181837479049e-01
3.560000000000000053e+00,-9.766704522419522583e-01
3.569999999999999840e+00,-6.712931394015390074e-01
3.580000000000000071e+00,3.101024113278537109e-01
3.589999999999999858e+00,9.792106207291778608e-01
3.600000000000000089e+00,6.622735205274723480e-01
3.609999999999999876e+00,-3.215260162351158968e-01
3.620000000000000107e+00,-9.815696774939576263e-01
3.629999999999999893e+00,-6.533014099839143940e-01
3.640000000000000124e+00,3.327216869589741388e-01
3.649999999999999911e+00,9.837531929422259624e-01
3.660000000000000142e+00,6.443858044876877855e-01
3.669999999999999929e+00,-3.436861340750602123e-01
3.680000000000000160e+00,-9.857668879120691230e-01
3.689999999999999947e+00,-6.355355923750106717e-01
3.700000000000000178e+00,3.544163204844301140e-01
3.709999999999999964e+00,9.876166185904083905e-01
3.720000000000000195e+00,6.267595431128687444e-01
3.729999999999999982e+00,-3.649094565758054798e-01
3.740000000000000213e+00,-9.893083613446077562e-01
3.750000000000000000e+00,-6.180662973585511200e-01
3.759999999999999787e+00,3.751629947777239682e-01
3.770000000000000018e+00,9.908481975084898474e-01
3.779999999999999805e+00,6.094643575762973553e-01
3.790000000000000036e+00,-3.851746235333010637e-01
3.799999999999999822e+00,-9.922422981611530579e-01
3.810000000000000053e+00,-6.009620792131302736e-01
3.819999999999999840e+00,3.949422607312521039e-01
3.830000000000000071e+00,9.934969089356805449e-01
3.839999999999999858e+00,5.925676624376589041e-01
3.850000000000000089e+00,-4.044640466280329250e-01
3.859999999999999876e+00,-9.946183348936239454e-01
3.870000000000000107e+00,-5.842891444405019508e-01
3.879999999999999893e+00,4.137383362990689206e-01
3.890000000000000124e+00,9.956129254995251809e-01
3.899999999999999911e+00,5.761343922929876848e-01
3.910000000000000142e+00,-4.227636916541863688e-01
3.919999999999999929e+00,-9.964870597281816345e-01
3.930000000000000160e+00,-5.681110963582771678e-01
3.939999999999999947e+00,4.315388730566641073e-01
3.950000000000000178e+00,9.972471313359466683e-01
3.959999999999999964e+00,5.602267642478181431e-01
